timestamp,tick (Âµs),input,delta (time input was stable)
Thu Jan 23 17:06:53 2020,959360977,1,45
Thu Jan 23 17:06:53 2020,959361413,0,436
Thu Jan 23 17:06:53 2020,959361433,1,20
Thu Jan 23 17:06:53 2020,959361488,0,55
Thu Jan 23 17:06:53 2020,959361498,1,10
Thu Jan 23 17:06:53 2020,959361518,0,20
Thu Jan 23 17:06:53 2020,959361542,1,24
Thu Jan 23 17:06:53 2020,959361557,0,15
Thu Jan 23 17:06:53 2020,959361602,1,45
Thu Jan 23 17:06:53 2020,959361842,0,240
Thu Jan 23 17:06:53 2020,959361887,1,45
Thu Jan 23 17:06:53 2020,959361892,0,5
Thu Jan 23 17:06:53 2020,959362077,1,185
Thu Jan 23 17:06:53 2020,959362087,0,10
Thu Jan 23 17:06:54 2020,960414615,1,1052528
Thu Jan 23 17:06:54 2020,960414900,0,285
Thu Jan 23 17:06:54 2020,960414930,1,30
Thu Jan 23 17:06:54 2020,960414995,0,65
Thu Jan 23 17:06:54 2020,960415065,1,70
Thu Jan 23 17:59:40 2020,4125614075,0,3165199010
Thu Jan 23 17:59:40 2020,4125614080,1,5
Thu Jan 23 17:59:40 2020,4125614241,0,161
Thu Jan 23 17:59:40 2020,4125614246,1,5
Thu Jan 23 18:03:48 2020,79135858,0,4046478388
Thu Jan 23 18:03:48 2020,79135863,1,5
Thu Jan 23 20:16:04 2020,3720511274,0,3641375411
Thu Jan 23 20:16:04 2020,3720511279,1,5
Thu Jan 23 20:25:27 2020,4283094288,0,562583009
Thu Jan 23 20:25:27 2020,4283094293,1,5
Thu Jan 23 20:38:14 2020,754948857,0,3528145436
Thu Jan 23 20:38:14 2020,754948862,1,5
Thu Jan 23 20:38:14 2020,754951542,0,2680
Thu Jan 23 20:38:14 2020,754951547,1,5
Fri Jan 24 03:32:00 2020,4106716901,0,3351765354
Fri Jan 24 03:32:00 2020,4106716906,1,5
Fri Jan 24 03:32:00 2020,4106716916,0,10
Fri Jan 24 03:32:00 2020,4106716921,1,5
Fri Jan 24 10:23:54 2020,3051286656,0,1055430265
Fri Jan 24 10:23:54 2020,3051286661,1,5
Fri Jan 24 11:31:58 2020,2840056055,0,211230606
Fri Jan 24 11:31:58 2020,2840056090,1,35
Fri Jan 24 11:31:58 2020,2840056120,0,30
Fri Jan 24 11:31:58 2020,2840056215,1,95
Fri Jan 24 11:31:58 2020,2840056721,0,506
Fri Jan 24 11:31:58 2020,2840056776,1,55
Fri Jan 24 11:31:58 2020,2840056800,0,24
Fri Jan 24 11:31:58 2020,2840056875,1,75
Fri Jan 24 11:31:58 2020,2840057001,0,126
Fri Jan 24 11:31:59 2020,2841038883,1,981882
Fri Jan 24 11:31:59 2020,2841038898,0,15
Fri Jan 24 11:31:59 2020,2841039203,1,305
Fri Jan 24 11:31:59 2020,2841039488,0,285
Fri Jan 24 11:31:59 2020,2841039523,1,35
Fri Jan 24 11:31:59 2020,2841039548,0,25
Fri Jan 24 11:31:59 2020,2841039733,1,185
Fri Jan 24 11:33:33 2020,2935173751,0,94134018
Fri Jan 24 11:33:33 2020,2935173781,1,30
Fri Jan 24 11:33:33 2020,2935173816,0,35
Fri Jan 24 11:33:33 2020,2935173911,1,95
Fri Jan 24 11:33:33 2020,2935174366,0,455
Fri Jan 24 11:33:33 2020,2935174551,1,185
Fri Jan 24 11:33:33 2020,2935174686,0,135
Fri Jan 24 11:33:33 2020,2935174761,1,75
Fri Jan 24 11:33:33 2020,2935174781,0,20
Fri Jan 24 11:33:33 2020,2935174851,1,70
Fri Jan 24 11:33:33 2020,2935174861,0,10
Fri Jan 24 11:33:34 2020,2936297189,1,1122328
Fri Jan 24 11:33:34 2020,2936297289,0,100
Fri Jan 24 11:33:34 2020,2936297319,1,30
Fri Jan 24 11:33:34 2020,2936297339,0,20
Fri Jan 24 11:33:34 2020,2936297384,1,45
Fri Jan 24 11:33:34 2020,2936297459,0,75
Fri Jan 24 11:33:34 2020,2936297609,1,150
Fri Jan 24 11:33:34 2020,2936297684,0,75
Fri Jan 24 11:33:34 2020,2936297784,1,100
Fri Jan 24 11:33:34 2020,2936297854,0,70
Fri Jan 24 11:33:34 2020,2936298014,1,160
Fri Jan 24 11:37:05 2020,3146869322,0,210571308
Fri Jan 24 11:37:05 2020,3146869347,1,25
Fri Jan 24 11:37:05 2020,3146869387,0,40
Fri Jan 24 11:37:05 2020,3146869477,1,90
Fri Jan 24 11:37:05 2020,3146869962,0,485
Fri Jan 24 11:37:05 2020,3146870007,1,45
Fri Jan 24 11:37:05 2020,3146870017,0,10
Fri Jan 24 11:37:05 2020,3146870087,1,70
Fri Jan 24 11:37:05 2020,3146870272,0,185
Fri Jan 24 11:37:05 2020,3146870327,1,55
Fri Jan 24 11:37:05 2020,3146870362,0,35
Fri Jan 24 11:37:06 2020,3147918215,1,1047853
Fri Jan 24 11:37:06 2020,3147918270,0,55
Fri Jan 24 11:37:06 2020,3147918595,1,325
Fri Jan 24 11:37:06 2020,3147918800,0,205
Fri Jan 24 11:37:06 2020,3147918985,1,185
Fri Jan 24 11:37:06 2020,3147919100,0,115
Fri Jan 24 11:37:06 2020,3147919165,1,65
Fri Jan 24 11:37:06 2020,3147919195,0,30
Fri Jan 24 11:37:06 2020,3147919385,1,190
Fri Jan 24 11:37:46 2020,3188131711,0,40212326
Fri Jan 24 11:37:46 2020,3188131731,1,20
Fri Jan 24 11:37:46 2020,3188131771,0,40
Fri Jan 24 11:37:46 2020,3188131867,1,96
Fri Jan 24 11:37:46 2020,3188132236,0,369
Fri Jan 24 11:37:46 2020,3188132286,1,50
Fri Jan 24 11:37:46 2020,3188132326,0,40
Fri Jan 24 11:37:46 2020,3188132451,1,125
Fri Jan 24 11:37:46 2020,3188132531,0,80
Fri Jan 24 11:37:47 2020,3189152970,1,1020439
Fri Jan 24 11:37:47 2020,3189153020,0,50
Fri Jan 24 11:37:47 2020,3189153374,1,354
Fri Jan 24 11:37:47 2020,3189153819,0,445
Fri Jan 24 11:37:47 2020,3189153829,1,10
Fri Jan 24 12:21:34 2020,1521486772,0,1667667057
Fri Jan 24 12:21:34 2020,1521486777,1,5
Fri Jan 24 13:38:05 2020,1817131670,0,295644893
Fri Jan 24 13:38:05 2020,1817131680,1,10
Fri Jan 24 13:38:05 2020,1817131740,0,60
Fri Jan 24 13:38:05 2020,1817131835,1,95
Fri Jan 24 13:38:05 2020,1817132270,0,435
Fri Jan 24 13:38:05 2020,1817132295,1,25
Fri Jan 24 13:38:05 2020,1817132345,0,50
Fri Jan 24 13:38:05 2020,1817132475,1,130
Fri Jan 24 13:38:05 2020,1817132670,0,195
Fri Jan 24 13:38:05 2020,1817132695,1,25
Fri Jan 24 13:38:05 2020,1817132730,0,35
Fri Jan 24 13:38:05 2020,1817132895,1,165
Fri Jan 24 13:38:05 2020,1817132930,0,35
Fri Jan 24 13:38:06 2020,1818157598,1,1024668
Fri Jan 24 13:38:06 2020,1818157708,0,110
Fri Jan 24 13:38:06 2020,1818157758,1,50
Fri Jan 24 13:38:06 2020,1818157768,0,10
Fri Jan 24 13:38:06 2020,1818157918,1,150
Fri Jan 24 13:38:06 2020,1818158118,0,200
Fri Jan 24 13:38:06 2020,1818158298,1,180
Fri Jan 24 13:38:06 2020,1818158523,0,225
Fri Jan 24 13:38:06 2020,1818158658,1,135
Fri Jan 24 13:56:28 2020,2920355282,0,1102196624
Fri Jan 24 13:56:28 2020,2920355292,1,10
Fri Jan 24 13:56:28 2020,2920355352,0,60
Fri Jan 24 13:56:28 2020,2920355447,1,95
Fri Jan 24 13:56:28 2020,2920355782,0,335
Fri Jan 24 13:56:28 2020,2920355842,1,60
Fri Jan 24 13:56:28 2020,2920355847,0,5
Fri Jan 24 13:56:28 2020,2920355917,1,70
Fri Jan 24 13:56:28 2020,2920356002,0,85
Fri Jan 24 13:56:28 2020,2920356073,1,71
Fri Jan 24 13:56:28 2020,2920356167,0,94
Fri Jan 24 13:56:28 2020,2920356207,1,40
Fri Jan 24 13:56:28 2020,2920356252,0,45
Fri Jan 24 13:56:28 2020,2920356432,1,180
Fri Jan 24 13:56:28 2020,2920356442,0,10
Fri Jan 24 13:56:28 2020,2920356672,1,230
Fri Jan 24 13:56:28 2020,2920356682,0,10
Fri Jan 24 13:56:29 2020,2921363870,1,1007188
Fri Jan 24 13:56:29 2020,2921363985,0,115
Fri Jan 24 13:56:29 2020,2921364210,1,225
Fri Jan 24 13:56:29 2020,2921364806,0,596
Fri Jan 24 13:56:29 2020,2921364836,1,30
Fri Jan 24 13:56:29 2020,2921364861,0,25
Fri Jan 24 13:56:29 2020,2921364915,1,54
Fri Jan 24 13:58:21 2020,3033073902,0,111708987
Fri Jan 24 13:58:21 2020,3033073912,1,10
Fri Jan 24 13:58:21 2020,3033073967,0,55
Fri Jan 24 13:58:21 2020,3033074067,1,100
Fri Jan 24 13:58:21 2020,3033074438,0,371
Fri Jan 24 13:58:21 2020,3033074503,1,65
Fri Jan 24 13:58:21 2020,3033074538,0,35
Fri Jan 24 13:58:21 2020,3033074603,1,65
Fri Jan 24 13:58:21 2020,3033074758,0,155
Fri Jan 24 13:58:21 2020,3033074783,1,25
Fri Jan 24 13:58:21 2020,3033074808,0,25
Fri Jan 24 13:58:21 2020,3033074883,1,75
Fri Jan 24 13:58:21 2020,3033074918,0,35
Fri Jan 24 13:58:21 2020,3033074987,1,69
Fri Jan 24 13:58:21 2020,3033074992,0,5
Fri Jan 24 13:58:21 2020,3033075197,1,205
Fri Jan 24 13:58:21 2020,3033075202,0,5
Fri Jan 24 13:58:22 2020,3034199865,1,1124663
Fri Jan 24 13:58:22 2020,3034200170,0,305
Fri Jan 24 13:58:22 2020,3034200226,1,56
Fri Jan 24 13:58:22 2020,3034200400,0,174
Fri Jan 24 13:58:22 2020,3034200550,1,150
Fri Jan 24 13:58:22 2020,3034200585,0,35
Fri Jan 24 13:58:22 2020,3034200640,1,55
Fri Jan 24 13:58:22 2020,3034200700,0,60
Fri Jan 24 13:58:22 2020,3034200905,1,205
Fri Jan 24 14:01:58 2020,3249798436,0,215597531
Fri Jan 24 14:01:58 2020,3249798446,1,10
Fri Jan 24 14:01:58 2020,3249798506,0,60
Fri Jan 24 14:01:58 2020,3249798601,1,95
Fri Jan 24 14:01:58 2020,3249798941,0,340
Fri Jan 24 14:01:58 2020,3249798977,1,36
Fri Jan 24 14:01:58 2020,3249799047,0,70
Fri Jan 24 14:01:58 2020,3249799096,1,49
Fri Jan 24 14:01:58 2020,3249799211,0,115
Fri Jan 24 14:01:58 2020,3249799236,1,25
Fri Jan 24 14:01:58 2020,3249799311,0,75
Fri Jan 24 14:01:59 2020,3250886604,1,1087293
Fri Jan 24 14:01:59 2020,3250886624,0,20
Fri Jan 24 14:01:59 2020,3250887084,1,460
Fri Jan 24 14:01:59 2020,3250887289,0,205
Fri Jan 24 14:01:59 2020,3250887294,1,5
Fri Jan 24 14:01:59 2020,3250887329,0,35
Fri Jan 24 14:01:59 2020,3250887439,1,110
Fri Jan 24 14:01:59 2020,3250887484,0,45
Fri Jan 24 14:01:59 2020,3250887534,1,50
Fri Jan 24 14:01:59 2020,3250887604,0,70
Fri Jan 24 14:01:59 2020,3250888034,1,430
Fri Jan 24 16:15:51 2020,2693636362,0,557251672
Fri Jan 24 16:15:51 2020,2693636367,1,5
Fri Jan 24 16:15:51 2020,2693636427,0,60
Fri Jan 24 16:15:51 2020,2693636527,1,100
Fri Jan 24 16:15:51 2020,2693636942,0,415
Fri Jan 24 16:15:51 2020,2693636962,1,20
Fri Jan 24 16:15:51 2020,2693637042,0,80
Fri Jan 24 16:15:51 2020,2693637092,1,50
Fri Jan 24 16:15:51 2020,2693637252,0,160
Fri Jan 24 16:15:51 2020,2693637397,1,145
Fri Jan 24 16:15:51 2020,2693637412,0,15
Fri Jan 24 16:15:51 2020,2693637662,1,250
Fri Jan 24 16:15:51 2020,2693637677,0,15
Fri Jan 24 16:15:52 2020,2694592089,1,954412
Fri Jan 24 16:15:52 2020,2694592219,0,130
Fri Jan 24 16:15:52 2020,2694592274,1,55
Fri Jan 24 16:15:52 2020,2694592294,0,20
Fri Jan 24 16:15:52 2020,2694592424,1,130
Fri Jan 24 16:15:52 2020,2694592499,0,75
Fri Jan 24 16:15:52 2020,2694592849,1,350
Fri Jan 24 16:15:52 2020,2694592879,0,30
Fri Jan 24 16:15:52 2020,2694593114,1,235
Fri Jan 24 17:31:59 2020,2966452637,0,271859523
Fri Jan 24 17:31:59 2020,2966452647,1,10
Fri Jan 24 17:31:59 2020,2966452672,0,25
Fri Jan 24 17:31:59 2020,2966452692,1,20
Fri Jan 24 17:31:59 2020,2966453352,0,660
Fri Jan 24 17:31:59 2020,2966453397,1,45
Fri Jan 24 17:31:59 2020,2966453452,0,55
Fri Jan 24 17:31:59 2020,2966453482,1,30
Fri Jan 24 17:31:59 2020,2966453517,0,35
Fri Jan 24 17:31:59 2020,2966453537,1,20
Fri Jan 24 17:31:59 2020,2966453582,0,45
Fri Jan 24 17:31:59 2020,2966453892,1,310
Fri Jan 24 17:31:59 2020,2966453907,0,15
Fri Jan 24 17:32:00 2020,2967557219,1,1103312
Fri Jan 24 17:32:00 2020,2967557274,0,55
Fri Jan 24 17:32:00 2020,2967557654,1,380
Fri Jan 24 17:32:00 2020,2967557729,0,75
Fri Jan 24 17:32:00 2020,2967558214,1,485
Fri Jan 24 21:13:27 2020,3369110943,0,401552729
Fri Jan 24 21:13:27 2020,3369110948,1,5
Sat Jan 25 03:51:47 2020,1500283019,0,1868827929
Sat Jan 25 03:51:47 2020,1500283024,1,5
Sat Jan 25 10:10:34 2020,2752260429,0,1251977405
Sat Jan 25 10:10:34 2020,2752260434,1,5
Sat Jan 25 10:26:29 2020,3706951350,0,954690916
Sat Jan 25 10:26:29 2020,3706951405,1,55
Sat Jan 25 10:26:29 2020,3706951905,0,500
Sat Jan 25 10:26:29 2020,3706951910,1,5
Sat Jan 25 10:26:29 2020,3706951965,0,55
Sat Jan 25 10:26:29 2020,3706951995,1,30
Sat Jan 25 10:26:29 2020,3706952010,0,15
Sat Jan 25 10:26:29 2020,3706952065,1,55
Sat Jan 25 10:26:29 2020,3706952145,0,80
Sat Jan 25 10:26:29 2020,3706952190,1,45
Sat Jan 25 10:26:29 2020,3706952195,0,5
Sat Jan 25 10:26:29 2020,3706952250,1,55
Sat Jan 25 10:26:29 2020,3706952260,0,10
Sat Jan 25 10:26:30 2020,3707906402,1,954142
Sat Jan 25 10:26:30 2020,3707906507,0,105
Sat Jan 25 10:26:30 2020,3707906657,1,150
Sat Jan 25 10:26:30 2020,3707907007,0,350
Sat Jan 25 10:26:30 2020,3707907067,1,60
Sat Jan 25 10:26:30 2020,3707907382,0,315
Sat Jan 25 10:26:30 2020,3707907447,1,65
Sat Jan 25 14:53:51 2020,2569317652,0,1138589795
Sat Jan 25 14:53:51 2020,2569317657,1,5
Sat Jan 25 16:39:32 2020,320768820,0,2248548837
Sat Jan 25 16:39:32 2020,320768825,1,5
Sat Jan 25 21:27:36 2020,424950891,0,104182066
Sat Jan 25 21:27:36 2020,424950896,1,5
Sun Jan 26 15:13:33 2020,4253183664,0,3828232768
Sun Jan 26 15:13:33 2020,4253183669,1,5
Sun Jan 26 15:13:33 2020,4253187904,0,4235
Sun Jan 26 15:13:33 2020,4253187909,1,5
Sun Jan 26 17:02:38 2020,2208333887,0,2044854022
Sun Jan 26 17:02:38 2020,2208333892,1,5
Mon Jan 27 06:44:41 2020,4286773554,0,2078439662
Mon Jan 27 06:44:41 2020,4286773559,1,5
Mon Jan 27 06:44:41 2020,4286773670,0,111
Mon Jan 27 06:44:41 2020,4286773675,1,5
Mon Jan 27 06:44:47 2020,4293403116,0,6629441
Mon Jan 27 06:44:47 2020,4293403121,1,5
Mon Jan 27 06:44:55 2020,6311585,0,4287091536
Mon Jan 27 06:44:55 2020,6311590,1,5
Mon Jan 27 06:44:55 2020,6311665,0,75
Mon Jan 27 06:44:55 2020,6311670,1,5
Mon Jan 27 06:44:55 2020,6311720,0,50
Mon Jan 27 06:44:55 2020,6311725,1,5
Mon Jan 27 12:08:02 2020,2213223412,0,2206911687
Mon Jan 27 12:08:02 2020,2213223442,1,30
Mon Jan 27 12:08:02 2020,2213223472,0,30
Mon Jan 27 12:08:02 2020,2213223562,1,90
Mon Jan 27 12:08:02 2020,2213224018,0,456
Mon Jan 27 12:08:02 2020,2213224198,1,180
Mon Jan 27 12:08:02 2020,2213224288,0,90
Mon Jan 27 12:08:03 2020,2214341680,1,1117392
Mon Jan 27 13:37:48 2020,3303937703,0,1089596023
Mon Jan 27 13:37:48 2020,3303937708,1,5
Mon Jan 27 13:37:48 2020,3304784719,0,847011
Mon Jan 27 13:37:48 2020,3304784724,1,5
Mon Jan 27 15:30:37 2020,1483747689,0,1821037035
Mon Jan 27 15:30:37 2020,1483747694,1,5
Mon Jan 27 15:30:37 2020,1483747724,0,30
Mon Jan 27 15:30:37 2020,1483747739,1,15
Mon Jan 27 15:30:37 2020,1483748299,0,560
Mon Jan 27 15:30:37 2020,1483748379,1,80
Mon Jan 27 15:30:37 2020,1483748729,0,350
Mon Jan 27 15:30:37 2020,1483748734,1,5
Mon Jan 27 15:30:37 2020,1483748824,0,90
Mon Jan 27 15:30:37 2020,1483748874,1,50
Mon Jan 27 15:30:37 2020,1483748899,0,25
Mon Jan 27 15:30:37 2020,1483748969,1,70
Mon Jan 27 15:30:37 2020,1483748979,0,10
Mon Jan 27 15:30:37 2020,1483749024,1,45
Mon Jan 27 15:30:37 2020,1483749054,0,30
Mon Jan 27 15:30:37 2020,1483749105,1,51
Mon Jan 27 15:30:37 2020,1483749125,0,20
Mon Jan 27 15:30:38 2020,1484749426,1,1000301
Mon Jan 27 15:30:38 2020,1484749456,0,30
Mon Jan 27 15:30:38 2020,1484749801,1,345
Mon Jan 27 15:30:38 2020,1484750522,0,721
Mon Jan 27 15:30:38 2020,1484750547,1,25
Mon Jan 27 15:30:38 2020,1484750552,0,5
Mon Jan 27 15:30:38 2020,1484750557,1,5
Mon Jan 27 15:30:38 2020,1484750602,0,45
Mon Jan 27 15:30:38 2020,1484750692,1,90
Mon Jan 27 15:30:38 2020,1484750727,0,35
Mon Jan 27 15:30:38 2020,1484750862,1,135
Mon Jan 27 17:21:17 2020,3828606978,0,2343856116
Mon Jan 27 17:21:17 2020,3828607073,1,95
Mon Jan 27 17:21:17 2020,3828607498,0,425
Mon Jan 27 17:21:17 2020,3828607698,1,200
Mon Jan 27 17:21:17 2020,3828607963,0,265
Mon Jan 27 17:21:17 2020,3828608378,1,415
Mon Jan 27 17:21:17 2020,3828608408,0,30
Mon Jan 27 17:21:18 2020,3829619871,1,1011463
Mon Jan 27 17:21:18 2020,3829620265,0,394
Mon Jan 27 17:21:18 2020,3829620345,1,80
Mon Jan 27 17:21:18 2020,3829620825,0,480
Mon Jan 27 17:21:18 2020,3829620931,1,106
Mon Jan 27 17:22:10 2020,3882033133,0,52412202
Mon Jan 27 17:22:10 2020,3882033143,1,10
Mon Jan 27 17:22:10 2020,3882033173,0,30
Mon Jan 27 17:22:10 2020,3882033178,1,5
Mon Jan 27 17:22:10 2020,3882033208,0,30
Mon Jan 27 17:22:10 2020,3882033223,1,15
Mon Jan 27 17:22:10 2020,3882033288,0,65
Mon Jan 27 17:22:10 2020,3882033293,1,5
Mon Jan 27 17:22:10 2020,3882033328,0,35
Mon Jan 27 17:22:10 2020,3882033333,1,5
Mon Jan 27 17:22:10 2020,3882033458,0,125
Mon Jan 27 17:22:10 2020,3882033463,1,5
Mon Jan 27 17:22:10 2020,3882033478,0,15
Mon Jan 27 17:22:10 2020,3882033483,1,5
Mon Jan 27 17:22:10 2020,3882033523,0,40
Mon Jan 27 17:22:10 2020,3882033528,1,5
Mon Jan 27 17:22:10 2020,3882033538,0,10
Mon Jan 27 17:22:10 2020,3882033543,1,5
Mon Jan 27 17:22:10 2020,3882033568,0,25
Mon Jan 27 17:22:10 2020,3882033573,1,5
Mon Jan 27 17:22:10 2020,3882033668,0,95
Mon Jan 27 17:22:10 2020,3882033673,1,5
Mon Jan 27 17:22:10 2020,3882033678,0,5
Mon Jan 27 17:22:10 2020,3882033688,1,10
Mon Jan 27 17:22:10 2020,3882033693,0,5
Mon Jan 27 17:22:10 2020,3882033698,1,5
Mon Jan 27 17:22:10 2020,3882033708,0,10
Mon Jan 27 17:22:10 2020,3882033713,1,5
Mon Jan 27 17:22:10 2020,3882033723,0,10
Mon Jan 27 17:22:10 2020,3882033728,1,5
Mon Jan 27 17:22:10 2020,3882033738,0,10
Mon Jan 27 17:22:10 2020,3882033743,1,5
Mon Jan 27 17:22:10 2020,3882034093,0,350
Mon Jan 27 17:22:10 2020,3882034098,1,5
Mon Jan 27 17:22:10 2020,3882034118,0,20
Mon Jan 27 17:22:10 2020,3882034123,1,5
Mon Jan 27 17:22:10 2020,3882034143,0,20
Mon Jan 27 17:22:10 2020,3882034148,1,5
Mon Jan 27 17:22:10 2020,3882034258,0,110
Mon Jan 27 17:22:10 2020,3882034263,1,5
Mon Jan 27 17:22:10 2020,3882034548,0,285
Mon Jan 27 17:22:10 2020,3882034553,1,5
Mon Jan 27 17:22:10 2020,3882034563,0,10
Mon Jan 27 17:22:10 2020,3882034568,1,5
Mon Jan 27 17:22:10 2020,3882034613,0,45
Mon Jan 27 17:22:10 2020,3882034618,1,5
Mon Jan 27 17:22:10 2020,3882034648,0,30
Mon Jan 27 17:22:10 2020,3882034653,1,5
Mon Jan 27 17:22:10 2020,3882034673,0,20
Mon Jan 27 17:22:10 2020,3882034678,1,5
Mon Jan 27 17:22:10 2020,3882034738,0,60
Mon Jan 27 17:22:10 2020,3882034743,1,5
Mon Jan 27 17:22:10 2020,3882035113,0,370
Mon Jan 27 17:22:10 2020,3882035118,1,5
Mon Jan 27 17:22:10 2020,3882035288,0,170
Mon Jan 27 17:22:10 2020,3882035293,1,5
Mon Jan 27 17:22:11 2020,3882035463,0,170
Mon Jan 27 17:22:11 2020,3882035468,1,5
Mon Jan 27 17:22:11 2020,3882035493,0,25
Mon Jan 27 17:22:11 2020,3882035498,1,5
Mon Jan 27 17:22:11 2020,3882035628,0,130
Mon Jan 27 17:22:11 2020,3882035633,1,5
Mon Jan 27 17:22:11 2020,3882036043,0,410
Mon Jan 27 17:22:11 2020,3882036048,1,5
Mon Jan 27 17:22:11 2020,3882036098,0,50
Mon Jan 27 17:22:11 2020,3882036103,1,5
Mon Jan 27 17:30:12 2020,68747016,0,3813289087
Mon Jan 27 17:30:12 2020,68747021,1,5
Mon Jan 27 17:30:12 2020,68747086,0,65
Mon Jan 27 17:30:12 2020,68747181,1,95
Mon Jan 27 17:30:12 2020,68747531,0,350
Mon Jan 27 17:30:12 2020,68747551,1,20
Mon Jan 27 17:30:12 2020,68747636,0,85
Mon Jan 27 17:30:12 2020,68747701,1,65
Mon Jan 27 17:30:12 2020,68747731,0,30
Mon Jan 27 17:30:12 2020,68747771,1,40
Mon Jan 27 17:30:12 2020,68747851,0,80
Mon Jan 27 17:30:12 2020,68747881,1,30
Mon Jan 27 17:30:12 2020,68747931,0,50
Mon Jan 27 17:30:12 2020,68747986,1,55
Mon Jan 27 17:30:12 2020,68747991,0,5
Mon Jan 27 17:30:12 2020,68748366,1,375
Mon Jan 27 17:30:12 2020,68748371,0,5
Mon Jan 27 17:30:13 2020,69788629,1,1040258
Mon Jan 27 17:30:13 2020,69789169,0,540
Mon Jan 27 17:30:13 2020,69789189,1,20
Mon Jan 27 17:30:13 2020,69789319,0,130
Mon Jan 27 17:30:13 2020,69789354,1,35
Mon Jan 27 17:30:13 2020,69789674,0,320
Mon Jan 27 17:30:13 2020,69789774,1,100
Mon Jan 27 17:31:17 2020,133866131,0,64076357
Mon Jan 27 17:31:17 2020,133866136,1,5
Mon Jan 27 17:31:17 2020,133866196,0,60
Mon Jan 27 17:31:17 2020,133866201,1,5
Mon Jan 27 17:31:17 2020,133866231,0,30
Mon Jan 27 17:31:17 2020,133866241,1,10
Mon Jan 27 17:31:17 2020,133866276,0,35
Mon Jan 27 17:31:17 2020,133866286,1,10
Mon Jan 27 17:31:17 2020,133866291,0,5
Mon Jan 27 17:31:17 2020,133866296,1,5
Mon Jan 27 17:31:17 2020,133866316,0,20
Mon Jan 27 17:31:17 2020,133866321,1,5
Mon Jan 27 17:31:17 2020,133866376,0,55
Mon Jan 27 17:31:17 2020,133866381,1,5
Mon Jan 27 17:31:17 2020,133866446,0,65
Mon Jan 27 17:31:17 2020,133866451,1,5
Mon Jan 27 17:31:17 2020,133866506,0,55
Mon Jan 27 17:31:17 2020,133866511,1,5
